seed,confirmatory_model_seed,candidate,phase,budget,strict_converged,converged_fraction,n_converged_channels,n_total_channels,state_relative_error,maximum_residual,maximum_velocity_norm,median_residual,median_velocity_norm,registered_tolerance,active_channel_steps,maximum_channel_steps,median_channel_steps,wall_time_seconds,audit_indices_json
17,False,width=8|trace=5|power=1,plus,120000,False,0.9984375,1278,1280,9.298696828145644e-06,3.6038958748263685e-05,3.1081218232758114e-05,1.8679024638060975e-05,5.6128645405999126e-06,2e-05,8524725,120000,1775.0,18.415716799965594,"[7737, 9620, 5423, 4912, 6219, 5073, 3236, 3125, 4249, 9485, 5729, 666, 3294, 1892, 2586, 1731, 8639, 4700, 3540, 2179, 2956, 3204, 7303, 5917, 8309, 7824, 3194, 1533, 8160, 6293, 8433, 9258, 4035, 505, 4444, 8886, 5631, 3448, 507, 1948, 1651, 5219, 2460, 8043, 6693, 30, 612, 3304, 538, 6486, 8731, 9047, 7516, 9505, 3087, 3503, 635, 5576, 6792, 6721, 9055, 8486, 6302, 4372, 192, 9063, 1607, 7447, 6315, 8561, 2248, 1793, 6801, 2495, 6089, 4515, 1681, 6123, 2418, 9822, 3674, 7394, 5231, 3396, 1687, 1281, 8008, 1768, 8741, 2343, 5202, 8060, 8249, 3462, 7932, 6428, 1034, 9299, 5530, 6907, 4168, 4289, 6030, 6076, 6209, 9494, 5819, 9755, 7731, 7864, 297, 8652, 7919, 9305, 3322, 7202, 2203, 391, 6056, 4427, 7238, 6820, 1480, 280, 3185, 6241, 1048, 1814]"
17,False,width=8|trace=5|power=1,minus,120000,False,0.9984375,1278,1280,9.603942921396605e-06,2.0960611782019625e-05,3.390670010757809e-05,1.8750574211676825e-05,5.634484084680002e-06,2e-05,8543575,120000,1775.0,18.87767790001817,"[7737, 9620, 5423, 4912, 6219, 5073, 3236, 3125, 4249, 9485, 5729, 666, 3294, 1892, 2586, 1731, 8639, 4700, 3540, 2179, 2956, 3204, 7303, 5917, 8309, 7824, 3194, 1533, 8160, 6293, 8433, 9258, 4035, 505, 4444, 8886, 5631, 3448, 507, 1948, 1651, 5219, 2460, 8043, 6693, 30, 612, 3304, 538, 6486, 8731, 9047, 7516, 9505, 3087, 3503, 635, 5576, 6792, 6721, 9055, 8486, 6302, 4372, 192, 9063, 1607, 7447, 6315, 8561, 2248, 1793, 6801, 2495, 6089, 4515, 1681, 6123, 2418, 9822, 3674, 7394, 5231, 3396, 1687, 1281, 8008, 1768, 8741, 2343, 5202, 8060, 8249, 3462, 7932, 6428, 1034, 9299, 5530, 6907, 4168, 4289, 6030, 6076, 6209, 9494, 5819, 9755, 7731, 7864, 297, 8652, 7919, 9305, 3322, 7202, 2203, 391, 6056, 4427, 7238, 6820, 1480, 280, 3185, 6241, 1048, 1814]"
17,False,width=8|trace=5|power=1,free,240000,False,0.99921875,1279,1280,5.773867889266627e-05,0.00014763995819830128,9.967426936499447e-05,4.5940382022367005e-05,6.496048739634941e-05,0.0001,10766475,240000,5875.0,26.659194900013972,"[7737, 9620, 5423, 4912, 6219, 5073, 3236, 3125, 4249, 9485, 5729, 666, 3294, 1892, 2586, 1731, 8639, 4700, 3540, 2179, 2956, 3204, 7303, 5917, 8309, 7824, 3194, 1533, 8160, 6293, 8433, 9258, 4035, 505, 4444, 8886, 5631, 3448, 507, 1948, 1651, 5219, 2460, 8043, 6693, 30, 612, 3304, 538, 6486, 8731, 9047, 7516, 9505, 3087, 3503, 635, 5576, 6792, 6721, 9055, 8486, 6302, 4372, 192, 9063, 1607, 7447, 6315, 8561, 2248, 1793, 6801, 2495, 6089, 4515, 1681, 6123, 2418, 9822, 3674, 7394, 5231, 3396, 1687, 1281, 8008, 1768, 8741, 2343, 5202, 8060, 8249, 3462, 7932, 6428, 1034, 9299, 5530, 6907, 4168, 4289, 6030, 6076, 6209, 9494, 5819, 9755, 7731, 7864, 297, 8652, 7919, 9305, 3322, 7202, 2203, 391, 6056, 4427, 7238, 6820, 1480, 280, 3185, 6241, 1048, 1814]"
17,False,width=8|trace=5|power=1,plus,240000,False,0.99921875,1279,1280,9.298470778975572e-06,2.211227000033535e-05,1.9928294729782165e-05,1.8681094217479087e-05,5.6128645405999126e-06,2e-05,8692275,240000,1775.0,26.14084050001111,"[7737, 9620, 5423, 4912, 6219, 5073, 3236, 3125, 4249, 9485, 5729, 666, 3294, 1892, 2586, 1731, 8639, 4700, 3540, 2179, 2956, 3204, 7303, 5917, 8309, 7824, 3194, 1533, 8160, 6293, 8433, 9258, 4035, 505, 4444, 8886, 5631, 3448, 507, 1948, 1651, 5219, 2460, 8043, 6693, 30, 612, 3304, 538, 6486, 8731, 9047, 7516, 9505, 3087, 3503, 635, 5576, 6792, 6721, 9055, 8486, 6302, 4372, 192, 9063, 1607, 7447, 6315, 8561, 2248, 1793, 6801, 2495, 6089, 4515, 1681, 6123, 2418, 9822, 3674, 7394, 5231, 3396, 1687, 1281, 8008, 1768, 8741, 2343, 5202, 8060, 8249, 3462, 7932, 6428, 1034, 9299, 5530, 6907, 4168, 4289, 6030, 6076, 6209, 9494, 5819, 9755, 7731, 7864, 297, 8652, 7919, 9305, 3322, 7202, 2203, 391, 6056, 4427, 7238, 6820, 1480, 280, 3185, 6241, 1048, 1814]"
17,False,width=8|trace=5|power=1,minus,240000,False,0.99921875,1279,1280,9.604184836906692e-06,3.372704869459259e-05,1.9974221913837098e-05,1.8750574211676825e-05,5.634484084680002e-06,2e-05,8711300,240000,1775.0,26.787207400018815,"[7737, 9620, 5423, 4912, 6219, 5073, 3236, 3125, 4249, 9485, 5729, 666, 3294, 1892, 2586, 1731, 8639, 4700, 3540, 2179, 2956, 3204, 7303, 5917, 8309, 7824, 3194, 1533, 8160, 6293, 8433, 9258, 4035, 505, 4444, 8886, 5631, 3448, 507, 1948, 1651, 5219, 2460, 8043, 6693, 30, 612, 3304, 538, 6486, 8731, 9047, 7516, 9505, 3087, 3503, 635, 5576, 6792, 6721, 9055, 8486, 6302, 4372, 192, 9063, 1607, 7447, 6315, 8561, 2248, 1793, 6801, 2495, 6089, 4515, 1681, 6123, 2418, 9822, 3674, 7394, 5231, 3396, 1687, 1281, 8008, 1768, 8741, 2343, 5202, 8060, 8249, 3462, 7932, 6428, 1034, 9299, 5530, 6907, 4168, 4289, 6030, 6076, 6209, 9494, 5819, 9755, 7731, 7864, 297, 8652, 7919, 9305, 3322, 7202, 2203, 391, 6056, 4427, 7238, 6820, 1480, 280, 3185, 6241, 1048, 1814]"
29,True,width=8|trace=5|power=1,free,10000,False,0.91328125,1169,1280,5.992309882840582e-05,0.000351904964743617,0.0002252779755731394,4.187908643922404e-05,6.52999277348099e-05,0.0001,8267875,10000,5825.0,9.58709759998601,"[3160, 108, 5784, 7132, 7266, 8352, 7921, 2396, 1892, 1725, 7834, 8496, 994, 1481, 2001, 6669, 786, 8688, 7797, 6705, 6704, 8977, 7843, 6530, 257, 4272, 2463, 5912, 8779, 3270, 6585, 5529, 9447, 5048, 6938, 5015, 6154, 4270, 3204, 2455, 5204, 1291, 2531, 7409, 1245, 7605, 516, 7172, 4008, 8160, 4552, 5340, 7460, 1127, 335, 1279, 3783, 1018, 136, 7851, 6739, 685, 7727, 9160, 9399, 7382, 8410, 7244, 9049, 8241, 9756, 2055, 2545, 9711, 8408, 8980, 384, 1652, 4996, 2353, 3422, 7214, 5953, 6018, 3366, 3824, 1526, 8272, 1424, 9866, 780, 2881, 3698, 5083, 2693, 3255, 9015, 963, 5479, 990, 2969, 2316, 3583, 7072, 521, 2234, 3122, 5615, 7588, 6574, 9852, 606, 6442, 583, 249, 4452, 1653, 7563, 1141, 8655, 9989, 9695, 8788, 3758, 6194, 9576, 4575, 3240]"
29,True,width=8|trace=5|power=1,plus,10000,False,0.82109375,1051,1280,9.85514192682216e-06,9.125097970764686e-05,4.0035171658046574e-05,1.775226829886696e-05,7.765965155650216e-06,2e-05,4967625,10000,1687.5,6.134602000005543,"[3160, 108, 5784, 7132, 7266, 8352, 7921, 2396, 1892, 1725, 7834, 8496, 994, 1481, 2001, 6669, 786, 8688, 7797, 6705, 6704, 8977, 7843, 6530, 257, 4272, 2463, 5912, 8779, 3270, 6585, 5529, 9447, 5048, 6938, 5015, 6154, 4270, 3204, 2455, 5204, 1291, 2531, 7409, 1245, 7605, 516, 7172, 4008, 8160, 4552, 5340, 7460, 1127, 335, 1279, 3783, 1018, 136, 7851, 6739, 685, 7727, 9160, 9399, 7382, 8410, 7244, 9049, 8241, 9756, 2055, 2545, 9711, 8408, 8980, 384, 1652, 4996, 2353, 3422, 7214, 5953, 6018, 3366, 3824, 1526, 8272, 1424, 9866, 780, 2881, 3698, 5083, 2693, 3255, 9015, 963, 5479, 990, 2969, 2316, 3583, 7072, 521, 2234, 3122, 5615, 7588, 6574, 9852, 606, 6442, 583, 249, 4452, 1653, 7563, 1141, 8655, 9989, 9695, 8788, 3758, 6194, 9576, 4575, 3240]"
29,True,width=8|trace=5|power=1,minus,10000,False,0.8203125,1050,1280,1.0086539964419451e-05,9.127374391104898e-05,4.0028840003237477e-05,1.8334498974323005e-05,7.366781930860264e-06,2e-05,4956225,10000,1675.0,4.680160099989735,"[3160, 108, 5784, 7132, 7266, 8352, 7921, 2396, 1892, 1725, 7834, 8496, 994, 1481, 2001, 6669, 786, 8688, 7797, 6705, 6704, 8977, 7843, 6530, 257, 4272, 2463, 5912, 8779, 3270, 6585, 5529, 9447, 5048, 6938, 5015, 6154, 4270, 3204, 2455, 5204, 1291, 2531, 7409, 1245, 7605, 516, 7172, 4008, 8160, 4552, 5340, 7460, 1127, 335, 1279, 3783, 1018, 136, 7851, 6739, 685, 7727, 9160, 9399, 7382, 8410, 7244, 9049, 8241, 9756, 2055, 2545, 9711, 8408, 8980, 384, 1652, 4996, 2353, 3422, 7214, 5953, 6018, 3366, 3824, 1526, 8272, 1424, 9866, 780, 2881, 3698, 5083, 2693, 3255, 9015, 963, 5479, 990, 2969, 2316, 3583, 7072, 521, 2234, 3122, 5615, 7588, 6574, 9852, 606, 6442, 583, 249, 4452, 1653, 7563, 1141, 8655, 9989, 9695, 8788, 3758, 6194, 9576, 4575, 3240]"
29,True,width=8|trace=5|power=1,free,30000,False,0.9796875,1254,1280,5.98522102791337e-05,0.0003729112518390919,0.00015294297556327287,4.2757870005402136e-05,6.372880932741864e-05,0.0001,9298250,30000,5825.0,12.116615300008561,"[3160, 108, 5784, 7132, 7266, 8352, 7921, 2396, 1892, 1725, 7834, 8496, 994, 1481, 2001, 6669, 786, 8688, 7797, 6705, 6704, 8977, 7843, 6530, 257, 4272, 2463, 5912, 8779, 3270, 6585, 5529, 9447, 5048, 6938, 5015, 6154, 4270, 3204, 2455, 5204, 1291, 2531, 7409, 1245, 7605, 516, 7172, 4008, 8160, 4552, 5340, 7460, 1127, 335, 1279, 3783, 1018, 136, 7851, 6739, 685, 7727, 9160, 9399, 7382, 8410, 7244, 9049, 8241, 9756, 2055, 2545, 9711, 8408, 8980, 384, 1652, 4996, 2353, 3422, 7214, 5953, 6018, 3366, 3824, 1526, 8272, 1424, 9866, 780, 2881, 3698, 5083, 2693, 3255, 9015, 963, 5479, 990, 2969, 2316, 3583, 7072, 521, 2234, 3122, 5615, 7588, 6574, 9852, 606, 6442, 583, 249, 4452, 1653, 7563, 1141, 8655, 9989, 9695, 8788, 3758, 6194, 9576, 4575, 3240]"
29,True,width=8|trace=5|power=1,plus,30000,False,0.97265625,1245,1280,9.812077323603196e-06,7.448729505012107e-05,3.572036393626084e-05,1.8582979158247687e-05,5.8328749226751276e-06,2e-05,6687500,30000,1687.5,8.701033400022425,"[3160, 108, 5784, 7132, 7266, 8352, 7921, 2396, 1892, 1725, 7834, 8496, 994, 1481, 2001, 6669, 786, 8688, 7797, 6705, 6704, 8977, 7843, 6530, 257, 4272, 2463, 5912, 8779, 3270, 6585, 5529, 9447, 5048, 6938, 5015, 6154, 4270, 3204, 2455, 5204, 1291, 2531, 7409, 1245, 7605, 516, 7172, 4008, 8160, 4552, 5340, 7460, 1127, 335, 1279, 3783, 1018, 136, 7851, 6739, 685, 7727, 9160, 9399, 7382, 8410, 7244, 9049, 8241, 9756, 2055, 2545, 9711, 8408, 8980, 384, 1652, 4996, 2353, 3422, 7214, 5953, 6018, 3366, 3824, 1526, 8272, 1424, 9866, 780, 2881, 3698, 5083, 2693, 3255, 9015, 963, 5479, 990, 2969, 2316, 3583, 7072, 521, 2234, 3122, 5615, 7588, 6574, 9852, 606, 6442, 583, 249, 4452, 1653, 7563, 1141, 8655, 9989, 9695, 8788, 3758, 6194, 9576, 4575, 3240]"
29,True,width=8|trace=5|power=1,minus,30000,False,0.9734375,1246,1280,1.0044620724837965e-05,7.460275954357651e-05,3.581711388182767e-05,1.8751280342150685e-05,5.892223377867988e-06,2e-05,6674350,30000,1675.0,7.275938600010704,"[3160, 108, 5784, 7132, 7266, 8352, 7921, 2396, 1892, 1725, 7834, 8496, 994, 1481, 2001, 6669, 786, 8688, 7797, 6705, 6704, 8977, 7843, 6530, 257, 4272, 2463, 5912, 8779, 3270, 6585, 5529, 9447, 5048, 6938, 5015, 6154, 4270, 3204, 2455, 5204, 1291, 2531, 7409, 1245, 7605, 516, 7172, 4008, 8160, 4552, 5340, 7460, 1127, 335, 1279, 3783, 1018, 136, 7851, 6739, 685, 7727, 9160, 9399, 7382, 8410, 7244, 9049, 8241, 9756, 2055, 2545, 9711, 8408, 8980, 384, 1652, 4996, 2353, 3422, 7214, 5953, 6018, 3366, 3824, 1526, 8272, 1424, 9866, 780, 2881, 3698, 5083, 2693, 3255, 9015, 963, 5479, 990, 2969, 2316, 3583, 7072, 521, 2234, 3122, 5615, 7588, 6574, 9852, 606, 6442, 583, 249, 4452, 1653, 7563, 1141, 8655, 9989, 9695, 8788, 3758, 6194, 9576, 4575, 3240]"
29,True,width=8|trace=5|power=1,free,60000,False,0.99296875,1271,1280,5.983240232453952e-05,0.00020740664936979889,0.00013641645959584442,4.280381670410565e-05,6.356282559436547e-05,0.0001,9717350,60000,5825.0,14.556015699985437,"[3160, 108, 5784, 7132, 7266, 8352, 7921, 2396, 1892, 1725, 7834, 8496, 994, 1481, 2001, 6669, 786, 8688, 7797, 6705, 6704, 8977, 7843, 6530, 257, 4272, 2463, 5912, 8779, 3270, 6585, 5529, 9447, 5048, 6938, 5015, 6154, 4270, 3204, 2455, 5204, 1291, 2531, 7409, 1245, 7605, 516, 7172, 4008, 8160, 4552, 5340, 7460, 1127, 335, 1279, 3783, 1018, 136, 7851, 6739, 685, 7727, 9160, 9399, 7382, 8410, 7244, 9049, 8241, 9756, 2055, 2545, 9711, 8408, 8980, 384, 1652, 4996, 2353, 3422, 7214, 5953, 6018, 3366, 3824, 1526, 8272, 1424, 9866, 780, 2881, 3698, 5083, 2693, 3255, 9015, 963, 5479, 990, 2969, 2316, 3583, 7072, 521, 2234, 3122, 5615, 7588, 6574, 9852, 606, 6442, 583, 249, 4452, 1653, 7563, 1141, 8655, 9989, 9695, 8788, 3758, 6194, 9576, 4575, 3240]"
