strategy,cases,observable_fraction,median_unseen_visibility,minimum_unseen_visibility,median_unseen_decay_rate,minimum_unseen_decay_rate,median_relaxation_gradient_error,maximum_relaxation_gradient_error,median_minimum_phase_convergence,median_active_sample_steps
calibration_modal,10,1.0,0.2816834968703996,0.20007899645519,0.0008964450055817946,0.0003991960694779695,0.0005339721082734132,0.001050583240902774,1.0,692225.0
random_0,10,1.0,0.15419057430485306,0.0864581638402379,0.0002786744198571278,7.469531227807802e-05,0.0005870200687294996,0.009577563811152687,1.0,2371162.5
topology_only,10,1.0,0.14514641939267103,0.09216102577874528,0.00022826448661969305,8.490555020090884e-05,0.0005002561869073941,0.00612493542972098,1.0,1853062.5
