support_width,dt,median_relaxation_gradient_error,maximum_gradient_difference_vs_finest,maximum_state_difference_vs_finest,maximum_split_energy_balance_error
1,0.05,3.7239033830137487,0.0,0.0,0.0004459503102812007
1,0.1,3.9261994671867546,0.25546323611123056,0.00019649469383563878,0.0017838077750927355
1,0.2,3.3130678885864344,0.34581330321839854,0.0003013787075133548,0.007135334184666577
6,0.05,0.06367874169522164,0.0,0.0,0.0004460132187348376
6,0.1,0.0590279011857581,0.01992571316073106,2.619862840621144e-06,0.0017840529708214238
6,0.2,0.0527638914324846,0.09580524158205714,9.914969481377207e-06,0.00713621344223833
8,0.05,0.002394263406779256,0.0,0.0,0.00044603699487018875
8,0.1,0.0027728631404926518,0.0014248983241319534,3.550367448538386e-07,0.0017841480066077353
8,0.2,0.0039867368465852215,0.004975657212241945,5.230180189259005e-07,0.007136592432026178
