dataset,seed,support_width,observed_gradient_refinement_order
moons,17,1,0.7885852851506434
moons,17,6,1.3062461047929392
moons,17,8,0.2111725777794155
moons,29,1,0.02074006906595922
moons,29,6,1.1676488295658964
moons,29,8,-0.1401924575369341
moons,43,1,0.08859041082091873
moons,43,6,2.355329176991919
moons,43,8,2.1152623239308794
spirals,17,1,1.2853617882517108
spirals,17,6,2.265473228526209
spirals,17,8,1.9765169278395305
spirals,29,1,1.0107320816616476
spirals,29,6,0.6976842041568743
spirals,29,8,0.8008692277829568
spirals,43,1,1.247903328845016
spirals,43,6,2.278450274503243
spirals,43,8,1.202850365346375
