profile,dataset,seed,chain_size,support_width,damping_trace,dt,physical_time,steps_per_phase,dynamic_vs_exact_centered_gradient_error,plus_state_vs_exact_error,minus_state_vs_exact_error,plus_residual,minus_residual,plus_velocity_norm,minus_velocity_norm,maximum_relative_split_energy_balance_error,median_relative_split_energy_balance_error,mean_dissipated_energy_two_phases,free_exact_residual,plus_exact_residual,minus_exact_residual,gradient_difference_vs_finest_dt,plus_state_difference_vs_finest_dt,minus_state_difference_vs_finest_dt
paper,moons,17,17,1,5.0,0.2,1200.0,6000,2.8385118951144923,0.00039944459150762277,0.00040217764065167075,0.00037795706342772797,0.00037751593025625916,0.0003672476731366093,0.00036442208480990377,0.006995371131763351,0.006645051945357714,0.0018342024817572548,2.2078161394887794e-16,2.3593948847696867e-16,2.2042254137332502e-16,0.3188378022031022,0.000189433217451436,0.00018980195847949653
paper,moons,17,17,1,5.0,0.1,1200.0,12000,2.4857394124361076,0.00041300985785064386,0.0004187793018585551,0.00043025662849777965,0.00043182095425711026,0.00034868473945717874,0.0003442187678512757,0.0017487940278915323,0.0016612633136077824,0.0018433746460513626,2.2078161394887794e-16,2.3593948847696867e-16,2.2042254137332502e-16,0.1845788695547883,0.00013689898972597516,0.00013689160390509657
paper,moons,17,17,1,5.0,0.05,1200.0,24000,2.3148581856697916,0.00041837257628525186,0.0004247590147928657,0.000450010380577418,0.00045142824635250174,0.0003468863363076897,0.00034586052112037724,0.0004371969090119246,0.0004153163241360214,0.001845667636488167,2.2078161394887794e-16,2.3593948847696867e-16,2.2042254137332502e-16,0.0,0.0,0.0
paper,moons,17,17,6,5.0,0.2,1200.0,6000,0.04198918229296243,3.807091296277598e-06,4.13912199875315e-06,4.535172178884558e-06,4.608291234797912e-06,5.412823418501689e-06,5.2596189434661224e-06,0.006996236090599615,0.0066462939732319865,0.0018343849065632265,2.2078161394887794e-16,2.3593948847696867e-16,2.2042254137332502e-16,0.012077781562844782,1.5587471813404619e-06,1.5231473560629103e-06
paper,moons,17,17,6,5.0,0.1,1200.0,12000,0.049935193363784415,4.462765621809227e-06,4.764307020023785e-06,5.634565451003604e-06,5.750094760362338e-06,3.9105374915950794e-06,3.6604101941561336e-06,0.0017490585689471003,0.0016615730592311805,0.0018435643032997367,2.2078161394887794e-16,2.3593948847696867e-16,2.2042254137332502e-16,0.004883912915534114,1.520839290746506e-06,1.494404812702558e-06
paper,moons,17,17,6,5.0,0.05,1200.0,24000,0.052857064245544795,4.591698346838432e-06,4.883669602102481e-06,5.719427708140138e-06,5.829579280887263e-06,3.5386389554909202e-06,3.2666701341630092e-06,0.000437264614424063,0.00041539323725514805,0.001845859151712325,2.2078161394887794e-16,2.3593948847696867e-16,2.2042254137332502e-16,0.0,0.0,0.0
paper,moons,17,17,8,5.0,0.2,1200.0,6000,0.0009601785189278298,1.4141111120694092e-07,1.4122859212228284e-07,9.241661670347736e-07,8.992625421235463e-07,5.140780946433001e-07,5.039347095888057e-07,0.006996645717048812,0.006646710017718368,0.0018343841516639692,2.2078161394887794e-16,2.3593948847696867e-16,2.2042254137332502e-16,0.0016495031751280892,2.4100354612367454e-07,2.358595188399792e-07
paper,moons,17,17,8,5.0,0.1,1200.0,12000,0.0010145113001362614,1.4561673798504706e-07,1.4733297800096682e-07,1.00708982848121e-06,9.866160822359034e-07,5.793159337587789e-07,5.687623338367231e-07,0.0017491612873887967,0.0016616773602961964,0.001843564124967946,2.2078161394887794e-16,2.3593948847696867e-16,2.2042254137332502e-16,0.0014248983241319534,2.590884607250791e-07,2.5431905058754394e-07
paper,moons,17,17,8,5.0,0.05,1200.0,24000,0.001190442402543386,1.4932949291631983e-07,1.512438030024522e-07,1.0145266739235127e-06,9.923708167243076e-07,5.756720554015577e-07,5.640423949277582e-07,0.0004372903123540474,0.00041541933065441367,0.0018458591180449675,2.2078161394887794e-16,2.3593948847696867e-16,2.2042254137332502e-16,0.0,0.0,0.0
paper,moons,29,17,1,5.0,0.2,1200.0,6000,2.540100201303865,0.0005127822916455696,0.0005126646380894527,0.00037612347874229187,0.0003772318650572197,0.0004085255975733186,0.00040423465694695946,0.007135334184666577,0.006785278152593121,0.0017993489009487753,1.1796627845463135e-16,2.0395546045548944e-16,3.361084092008002e-16,0.2591622801336399,0.00019963180162304775,0.00020044015671489234
paper,moons,29,17,1,5.0,0.1,1200.0,12000,2.754829177390856,0.00048137856081597864,0.0004811549291896688,0.0003751305727603274,0.00037354485984338173,0.0004280201433016789,0.00042687044282906165,0.0017838077750927355,0.0016963301326694481,0.0018085377132032072,1.1796627845463135e-16,2.0395546045548944e-16,3.361084092008002e-16,0.25546323611123056,0.0001483003982143744,0.0001482098536191191
paper,moons,29,17,1,5.0,0.05,1200.0,24000,3.01843204903109,0.00047368850869677513,0.00047341199130861275,0.00036620852580973855,0.00036438097404140047,0.00043440253876311915,0.00043412037165197647,0.0004459503102812007,0.0004240841716535404,0.0018108352044718104,1.1796627845463135e-16,2.0395546045548944e-16,3.361084092008002e-16,0.0,0.0,0.0
paper,moons,29,17,6,5.0,0.2,1200.0,6000,0.05866908886684368,7.688518346460657e-06,8.17485299405952e-06,5.019405550302206e-06,5.3625631553787054e-06,5.127590272456129e-06,4.721870214659508e-06,0.007136168165294861,0.006786457300121041,0.0017995075494815966,1.1796627845463135e-16,2.0395546045548944e-16,3.361084092008002e-16,0.011353699637706906,1.6827890122735958e-06,1.6305225937063065e-06
paper,moons,29,17,6,5.0,0.1,1200.0,12000,0.06812060900773179,8.287541287923143e-06,8.686714364244384e-06,6.003084427191765e-06,6.2553307116560145e-06,3.110320806541741e-06,2.813319684421186e-06,0.0017840416382034834,0.0016966138924788226,0.001808704689182759,1.1796627845463135e-16,2.0395546045548944e-16,3.361084092008002e-16,0.005054056337352256,1.6654922771387891e-06,1.6440367255156681e-06
