seed,chain_size,fitted_exponential_rate,fit_r_squared
17,5,0.016000020516148003,0.6856815408070405
17,9,0.027611868338730416,0.9978241028358046
29,5,0.016584661462891052,0.7950815093982886
29,9,0.010105435541711755,0.9278923463132016
