profile,seed,chain_size,beta,steps,physical_time,dynamic_vs_implicit_relative_error,dynamic_vs_centered_relative_error,exact_truncation_relative_error,state_error_bound_relative,residual_bound_relative,residual_relaxation_bound_relative,state_error_bound_holds,residual_bound_holds,plus_state_frobenius_error,minus_state_frobenius_error,plus_parameter_map_lipschitz,minus_parameter_map_lipschitz,plus_endpoint_curvature,minus_endpoint_curvature,minimum_endpoint_curvature,global_strong_convexity_lower_bound,floor_only_strong_convexity_margin,achieved_max_residual,achieved_max_velocity
paper,17,5,0.035,100,20.0,0.2071022724039714,0.20660844520340668,0.002494800575434768,1.088589941245565,3.53140077359873,3.5289059730232957,True,True,0.06099414108934534,0.06607005821773747,0.3389864374232872,0.3389051648343332,0.24485768212557313,0.23173421083909534,0.23173421083909534,0.17791398515282805,0.015,0.009379315812698127,0.011219518687745214
paper,17,5,0.035,300,60.0,0.012578730445945747,0.013486622189515062,0.002494800575434768,0.04950311298013781,0.4376469682837196,0.43515216770828485,True,True,0.0027263139471642097,0.0027735213958939055,0.3389515391425845,0.3389064641982036,0.24485768212557313,0.23173421083909534,0.23173421083909534,0.17791398515282805,0.015,0.0012077226573378292,0.0009930167277648616
paper,17,5,0.035,900,180.0,0.002500142845841732,1.6329656397474026e-05,0.002494800575434768,0.002584669602413917,0.003827600886410567,0.0013328003109757986,True,True,3.608094827604915e-06,6.906558766005822e-06,0.33895154118472554,0.33890516691822026,0.24485768212557313,0.23173421083909534,0.23173421083909534,0.17791398515282805,0.015,3.7375245399907295e-06,3.0243579644140862e-06
paper,17,5,0.035,2700,540.0,0.002494800575322321,5.517347595009621e-13,0.002494800575434768,0.002494800579600234,0.0024948006342748307,5.88400625494663e-11,True,True,1.5891960503036608e-13,3.284399505238468e-13,0.3389515391425845,0.33890516483433325,0.24485768212557313,0.23173421083909534,0.23173421083909534,0.17791398515282805,0.015,2.038884554158249e-13,1.181074662981696e-13
paper,17,5,0.035,8100,1620.0,0.002494800575317729,3.3148405657371326e-13,0.002494800575434768,0.0024948005767006167,0.0024948005755239216,8.915328096516418e-14,True,True,2.3962305905408062e-14,1.2414529373017267e-13,0.3389515391425845,0.3389051648343332,0.24485768212557313,0.23173421083909534,0.23173421083909534,0.17791398515282805,0.015,2.665835984225005e-16,3.0879920141504124e-16
paper,17,9,0.035,100,20.0,6.102781742953678,6.1009903455694925,0.012777481362291225,12.926648543118132,39.064023739966444,39.05124625860415,True,True,0.09814885837414095,0.10666470043559008,0.3385695386557152,0.3385759035242425,0.24693803790808447,0.23999949750240948,0.23999949750240948,0.17791398515282805,0.015,0.013878172626048697,0.01817607092624722
paper,17,9,0.035,300,60.0,0.5320290534799492,0.5325455036737673,0.012777481362291225,2.6260451106073255,12.518126868831713,12.50534938746942,True,True,0.019844572898945135,0.021602426165530212,0.3385695386557152,0.3385655113607149,0.24693803790808447,0.23999949750240948,0.23999949750240948,0.17791398515282805,0.015,0.004716446964631548,0.0055455575745462895
paper,17,9,0.035,900,180.0,0.01501638769953772,0.008035957647131952,0.012777481362291225,0.08977051970637648,0.45000371729981015,0.4372262359375189,True,True,0.0006439653543285479,0.0005771603799455469,0.3385695773492374,0.3385655113607149,0.24693803790808447,0.23999949750240948,0.23999949750240948,0.17791398515282805,0.015,0.00016136911543293325,0.00016498215568807743
paper,17,9,0.035,2700,540.0,0.012777424292729945,8.27082106685514e-07,0.012777481362291225,0.012783358687768726,0.012987416813520506,0.0002099354512292787,True,True,4.564503166910043e-08,4.757063033181705e-08,0.3385695386557152,0.3385655113705646,0.24693803790808447,0.23999949750240948,0.23999949750240948,0.17791398515282805,0.015,8.01841366668878e-08,7.737091400149295e-08
paper,17,9,0.035,8100,1620.0,0.012777481362282633,3.770115853817781e-14,0.012777481362291225,0.012777481362841122,0.012777481363535214,1.2439904000089979e-12,True,True,8.064384165106537e-16,7.91508248689208e-15,0.3385695386557152,0.3385655113607149,0.24693803790808447,0.23999949750240948,0.23999949750240948,0.17791398515282805,0.015,4.736843432626723e-16,4.0240597791097607e-16
