support_width,budget_steps,median_gradient_error,maximum_gradient_error,median_relaxation_error,median_dissipated_energy,minimum_visibility,minimum_decay_rate
1,1000,14.374475005566811,43.93948589995706,14.346827564153019,0.001836332894109552,0.00915125869675306,7.476824329888387e-06
1,4000,8.846604880654443,20.884670804771453,8.797571777933298,0.001845291773487884,0.00915125869675306,7.476824329888387e-06
1,16000,3.501729738631644,7.793916887159507,3.3696851171316906,0.0018466923209701244,0.00915125869675306,7.476824329888387e-06
1,40000,1.2493916339213185,2.2012306571577827,0.6772481344157809,0.0018468218313149516,0.00915125869675306,7.476824329888387e-06
1,80000,1.0799090599425227,1.6062279237617272,0.16944070439968745,0.0018468393849949362,0.00915125869675306,7.476824329888387e-06
1,160000,1.0647176008667762,1.4703073550840378,0.040406988461241286,0.0018468421237954476,0.00915125869675306,7.476824329888387e-06
2,1000,20.05549928687428,45.67506685066152,20.036972034641458,0.0018432973243153765,0.027204757240260512,1.7918175736986175e-05
2,4000,7.564139307832413,20.46272056375368,7.428701432301676,0.0018463308273146484,0.027204757240260512,1.7918175736986175e-05
2,16000,1.721836039007226,4.469380967834596,1.35307347021769,0.0018467967691047694,0.027204757240260512,1.7918175736986175e-05
2,40000,1.1715925947105534,2.510289389397906,0.3741700618310975,0.001846839317174758,0.027204757240260512,1.7918175736986175e-05
2,80000,1.065399626384711,1.4779616829394493,0.04104214017159704,0.0018468426072028375,0.027204757240260512,1.7918175736986175e-05
2,160000,1.0643951301199084,1.4672165430307986,0.015504111535059737,0.0018468427684775464,0.027204757240260512,1.7918175736986175e-05
4,1000,13.834165026366037,37.138863311006155,13.779161112692227,0.0018459132890161455,0.0750836616208756,6.084664872002543e-05
4,4000,3.5178546233098147,7.726482314088415,3.34065192138908,0.0018467354654546435,0.0750836616208756,6.084664872002543e-05
4,16000,1.1491263274763597,1.8439254011686539,0.15375059067222435,0.0018468398458216227,0.0750836616208756,6.084664872002543e-05
4,40000,1.0645707190646119,1.4680704236983206,0.019416256933282534,0.0018468426712982455,0.0750836616208756,6.084664872002543e-05
4,80000,1.0643688066957553,1.4670861985396573,0.0025557208545693645,0.0018468426887133082,0.0750836616208756,6.084664872002543e-05
4,160000,1.0643683582676804,1.4670828546171337,0.001486728481320075,0.0018468426913125387,0.0750836616208756,6.084664872002543e-05
6,1000,9.980326721486328,15.33982863114127,9.939834075544622,0.0018464711334519835,0.14464089125304616,0.0001873697293500176
6,4000,2.585046432936383,4.24243722773823,2.3366128982651597,0.0018468194622289404,0.14464089125304616,0.0001873697293500176
6,16000,1.0645051879527498,1.4731167274583101,0.02484156702260179,0.0018468424804766676,0.14464089125304616,0.0001873697293500176
6,40000,1.0643686324085124,1.4670836039636506,0.0011330765361634056,0.001846842524609509,0.14464089125304616,0.0001873697293500176
6,80000,1.064368077387444,1.4670829072273877,0.0002549663761960489,0.001846842525063077,0.14464089125304616,0.0001873697293500176
6,160000,1.0643679892377933,1.4670826209358943,2.676540542808051e-05,0.0018468425251059331,0.14464089125304616,0.0001873697293500176
8,1000,6.047875137414348,14.407737290075936,5.957416735400452,0.0018467228120823101,0.2521552911856956,0.0008339168019856347
8,4000,1.4074705471396243,1.8966326337081263,0.8418329130764299,0.0018468397959736232,0.2521552911856956,0.0008339168019856347
8,16000,1.0643704811512513,1.4670853510426887,0.0011393633183888916,0.0018468423307461694,0.2521552911856956,0.0008339168019856347
8,40000,1.0643679834085324,1.4670826232274439,1.855240294608675e-05,0.0018468423308268369,0.2521552911856956,0.0008339168019856347
8,80000,1.0643679853470887,1.4670826176211742,9.283500685627811e-07,0.001846842330827083,0.2521552911856956,0.0008339168019856347
8,160000,1.0643679853710384,1.4670826175414418,1.4501682420117046e-10,0.001846842330827083,0.2521552911856956,0.0008339168019856347
17,1000,1.0643688392268058,1.4670832519480916,0.00016884583509086255,0.0018468415339908256,0.9999999999999989,0.14705882352941113
17,4000,1.0643679853710457,1.4670826175414282,2.601968434092472e-12,0.001846841533991152,0.9999999999999989,0.14705882352941113
17,16000,1.0643679853710457,1.4670826175414282,2.610801929383737e-12,0.001846841533991152,0.9999999999999989,0.14705882352941113
17,40000,1.0643679853710457,1.4670826175414284,2.601968434092472e-12,0.001846841533991152,0.9999999999999989,0.14705882352941113
17,80000,1.0643679853710457,1.4670826175414284,2.610801929383737e-12,0.001846841533991152,0.9999999999999989,0.14705882352941113
17,160000,1.0643679853710457,1.4670826175414284,2.601968434234604e-12,0.001846841533991152,0.9999999999999989,0.14705882352941113
