dataset,seed,chain_size,support_width,damped_fraction,damping_trace,damping_per_node,budget_steps,physical_time,dt,dynamic_vs_implicit_relative_error,dynamic_vs_exact_centered_relative_error,exact_centered_vs_implicit_relative_error,dynamic_vs_implicit_cosine,plus_state_relative_error,minus_state_relative_error,plus_residual,minus_residual,plus_velocity_norm,minus_velocity_norm,mean_dissipated_energy_two_phases,minimum_eigenspace_visibility,median_eigenspace_visibility,minimum_spectral_decay_rate,median_spectral_decay_rate,all_modes_observable,free_exact_residual,plus_exact_residual,minus_exact_residual
moons,17,17,1,0.058823529411764705,5.0,5.0,1000,100.0,0.1,9.80396097610125,9.774049446888242,0.7643930760670751,0.17537237352755025,0.002617197024700786,0.0026137938629780754,0.0025829223592591624,0.002579299207660121,0.0027796959900085396,0.0027808434604274005,0.0018368172454123351,0.013710379252419134,0.02932208811739248,1.5464430137224205e-05,6.23337645968558e-05,True,1.2573190665112295e-16,2.789373856629392e-16,2.426505275046893e-16
moons,17,17,1,0.058823529411764705,5.0,5.0,4000,400.0,0.1,10.699888269016544,10.674287090495111,0.7643930760670751,-0.8085502129549077,0.001464244854700656,0.001462313013091176,0.0009744298456225119,0.0009753957944309721,0.0010155196085276964,0.001021978263016977,0.0018459584394511952,0.013710379252419134,0.02932208811739248,1.5464430137224205e-05,6.23337645968558e-05,True,1.2573190665112295e-16,2.789373856629392e-16,2.426505275046893e-16
moons,17,17,1,0.058823529411764705,5.0,5.0,16000,1600.0,0.1,3.413836473785155,3.3286663980793336,0.7643930760670751,-0.4613428965444009,0.0003576357315053046,0.0003604640049493564,0.00034746629710774297,0.00034686525218280987,0.00044851643429329256,0.0004524064801041379,0.001847419665391159,0.013710379252419134,0.02932208811739248,1.5464430137224205e-05,6.23337645968558e-05,True,1.2573190665112295e-16,2.789373856629392e-16,2.426505275046893e-16
moons,17,17,1,0.058823529411764705,5.0,5.0,40000,4000.0,0.1,1.1194217156885409,0.8166100398577432,0.7643930760670751,0.858946679379334,0.0001126114599260543,0.00011477729009185527,0.00014603777360424765,0.00014545884952695348,0.00021337309014243894,0.00021229528256767844,0.0018475200106328798,0.013710379252419134,0.02932208811739248,1.5464430137224205e-05,6.23337645968558e-05,True,1.2573190665112295e-16,2.789373856629392e-16,2.426505275046893e-16
moons,17,17,1,0.058823529411764705,5.0,5.0,80000,8000.0,0.1,0.8663673358931248,0.4077470454961394,0.7643930760670751,0.7972915065458828,5.576206194352972e-05,5.5201443413201544e-05,0.00010282764232693422,0.00010278356065566792,4.734348808379461e-05,4.797513412338249e-05,0.0018475306003874906,0.013710379252419134,0.02932208811739248,1.5464430137224205e-05,6.23337645968558e-05,True,1.2573190665112295e-16,2.789373856629392e-16,2.426505275046893e-16
moons,17,17,1,0.058823529411764705,5.0,5.0,160000,16000.0,0.1,0.7657131176302463,0.04462004663288318,0.7643930760670751,0.8315078376073195,9.670975925127807e-06,9.572132832837699e-06,7.264887301242738e-05,6.878483607304097e-05,3.4527868133255506e-05,3.5853188583454513e-05,0.0018475328694190218,0.013710379252419134,0.02932208811739248,1.5464430137224205e-05,6.23337645968558e-05,True,1.2573190665112295e-16,2.789373856629392e-16,2.426505275046893e-16
moons,17,17,2,0.11764705882352941,5.0,2.5,1000,100.0,0.1,11.712774675989952,11.689237933019502,0.7643930760670751,-0.6394208808925331,0.0017766013795905862,0.0018035832402709497,0.0011756185607657095,0.0011900135383517987,0.0016609714428591823,0.001680127767497047,0.0018438849540217677,0.042053340595829436,0.08911378421621863,2.7811919397269236e-05,8.966216466765875e-05,True,1.2573190665112295e-16,2.789373856629392e-16,2.426505275046893e-16
moons,17,17,2,0.11764705882352941,5.0,2.5,4000,400.0,0.1,5.3621220202914515,5.308612520142131,0.7643930760670751,-0.4467689774692756,0.0009440293156356341,0.0009682733338315571,0.00039745229206513446,0.0004028735721098968,0.0006103851975670317,0.0006287995886969305,0.0018470399063461181,0.042053340595829436,0.08911378421621863,2.7811919397269236e-05,8.966216466765875e-05,True,1.2573190665112295e-16,2.789373856629392e-16,2.426505275046893e-16
moons,17,17,2,0.11764705882352941,5.0,2.5,16000,1600.0,0.1,1.253928318158924,0.9939023245997901,0.7643930760670751,0.6903894058898751,0.00019816539126687793,0.0001994481942775509,0.0001314637871313301,0.00013022494205534266,0.00023349263073093904,0.0002472150400438669,0.0018475055511659546,0.042053340595829436,0.08911378421621863,2.7811919397269236e-05,8.966216466765875e-05,True,1.2573190665112295e-16,2.789373856629392e-16,2.426505275046893e-16
moons,17,17,2,0.11764705882352941,5.0,2.5,40000,4000.0,0.1,0.9545098935847474,0.5716110495150885,0.7643930760670751,0.7686885860317789,7.408849369542787e-05,7.57793264083145e-05,5.887066250928964e-05,6.02663524250357e-05,4.9161656874710474e-05,5.392668310882058e-05,0.0018475314423462032,0.042053340595829436,0.08911378421621863,2.7811919397269236e-05,8.966216466765875e-05,True,1.2573190665112295e-16,2.789373856629392e-16,2.426505275046893e-16
